"keys","cs"
,
"btn_close","Zavřít"
"btn_ok","OK"
"btn_cancel","Zrušit"
"btn_yes","Ano"
"btn_no","Ne"
"btn_reinstall","Znovu nainstalovat"
"btn_skip","Přeskočit"
"btn_confirm","Potvrdit"
