"keys","pl"
,
"dlg_mod_reinstall_title","Potwierdź Reinstalację Moda"
"dlg_mod_reinstall_text_single","Jeden z wybranych modów jest już zainstalowany.\nUsunąć go i przeinstalować?"
"dlg_mod_reinstall_text_multiple","%s z wybranych modów jest już zainstalowanych.\nUsunąć je i przeinstalować?"
