"keys","pl"
,
"btn_close","Zamknij"
"btn_ok","OK"
"btn_cancel","Anuluj"
"btn_yes","Tak"
"btn_no","Nie"
"btn_reinstall","Reinstalacja"
"btn_skip","Pomiń"
"btn_confirm","Potwierdź"
