"keys","pl"
,
"font_desc_fantasque","W pewnym sensie zagadkowa czcionka monospace autorstwa Jany Belluz."
"font_desc_hack","Czcionka-wół roboczy, głównie zaprojektowana dla kodu źródłowego, \nz naciskiem na czytelność. Autorstwo Source Foundry Authors."
"font_desc_inconsolata","Wariant czcionki Inconsolata (originalnie autorstwa Raph Levien)\nz dodatkiem znaków greckich oraz cyrylicy."
"font_desc_pt","Czcionka z maszyny do pisania, autorstwa ParaType, z doskonałą typografią cyrylicy."
"font_desc_ubuntu","Czionka autorstwa Canonical, w bardzo szykownym stylu,\nprzeznaczona dla tytułowej dystrybucji Linux."
