"keys","fr"
,
"font_desc_fantasque","Une police monospace un peu fantaisiste de Jany Belluz. "
"font_desc_hack","Une police performante conçue principalement pour le code source,\navec un accent sur la lisibilité. Par les auteurs de Source Foundry. "
"font_desc_inconsolata","Une variante de la police Inconsolata (à l'origine par Raph Levien)\navec l'ajout de caractères grecs et cyrilliques. "
"font_desc_pt","Une police de machine à écrire de ParaType \navec une excellente typographie cyrillique. "
"font_desc_ubuntu","Une police de Canonical au style très distinct,\nconçue pour la distribution Linux éponyme."
