"keys","ru"
,
"font_desc_fantasque","Слегка причудливый моноширинный шрифт от Jany Belluz."
"font_desc_hack","Рабочий шрифт, созданный в первую очередь для кода,\nс упором на удобочитаемость. От Source Foundry Authors."
"font_desc_inconsolata","Вариант шрифта Inconsolata (созданного Raph Levien)\nс добавлением греческих и кириллических символов."
"font_desc_pt","Машинописный шрифт от компании ParaType\nс отличной кириллической типографикой."
"font_desc_ubuntu","Шрифт с неповторимым стилем, созданный компанией\nCanonical для одноименного дистрибутива Линукса."
