"keys","ru"
,
"btn_close","Закрыть"
"btn_ok","ОК"
"btn_cancel","Отмена"
"btn_yes","Да"
"btn_no","Нет"
"btn_reinstall","Переустановить"
"btn_skip","Пропустить"
