"keys","ru"
,
"unit_kb","КБ"
"unit_mb","МБ"
"unit_kbps","КБ/с"
"unit_mbps","МБ/с"
,
"msg_downloading_file","Загружается файл %s..."
"msg_download_progress","Загрузка:"
"str_dl_speed_at","на скорости"
"msg_download_finished","Завершена загрузка %s."
"msg_download_failed","Не удалось загрузить %s."
"msg_http_request_info","[b]Информация от HTTPRequest:[/b]\n[u]Результат:[/u] %s\n[u]Код ответа:[/u] %s\n[u]Заголовки:[/u] %s"
"msg_using_proxy","Использование прокси: %s:%s"
