"keys","ru"
,
"dlg_userdata_deletion_title","Подтвердите удаление пользовательских данных"
"dlg_userdata_deletion_text_pt1","Стоп! В директории игры обнаружены неправильно размещённые пользовательские данные. Это могло произойти, если вы запустили игру напрямую из исполняемого файла вместо использования Catapult. Это не поддерживается, и если вы продолжите, все эти данные будут безвозвратно удалены.[br][br] Пользовательские данные найдены в следующих папках:[br]"
"dlg_userdata_deletion_text_pt2","Проверьте эти папки и сделайте резервную копию всего важного перед подтверждением."
"dlg_userdata_deletion_safety_hint","Введите здесь \"delete\" для подтверждения"
