"keys","ru"
,
"msg_file_read_fail","Не удалось открыть файл %s (ошибка %s)."
"msg_file_write_fail","Не удалось открыть файл %s на запись (ошибка %s)."
"msg_debug_file_path","Полный путь: %s"
"msg_json_parse_fail","Не удалось разобрать содержимое файла %s."
"msg_debug_json_result","Результат разбора JSON:\nКод ошибки: %s\nСообщение: %s\nСтрока с ошибкой: %s"
