"keys","ru"
,
"dlg_mod_reinstall_title","Подтвердите переустановку модов"
"dlg_mod_reinstall_text_single","Один из выбранных модов уже установлен.\nУдалить его и установить заново?"
"dlg_mod_reinstall_text_multiple","%s из выбранных модов уже установлены.\nУдалить их и установить заново?"
