"keys","ru"
,
"msg_creating_settings","Создается файл настроек %s."
"msg_nonexistent_attempt","Совершена попытка загрузить настройки из несуществующего файла %s"
"msg_loading_settings","Загрузка настроек из %s."
"msg_settings_parse_error","Произошла ошибка при парсинге настроек из JSON, строка %s, сообщение: %s"
"msg_nonexisting_setting","Совершена попытка прочитать несуществующую настройку \""%s\"""
