"keys","pt"
,
"font_desc_fantasque","Uma fonte monoespaçada um tanto caprichosa criada por Jany Belluz."
"font_desc_hack","Uma fonte de trabalho projetada principalmente para código-fonte,\ncom foco na legibilidade. Por Source Foundry Authors."
"font_desc_inconsolata","Uma variante da fonte Inconsolata (originalmente criada por Raph Levien)\ncom a adição de caracteres gregos e cirílicos."
"font_desc_pt","Uma fonte de máquina de escrever da ParaType com excelente tipografia cirílica."
"font_desc_ubuntu","Uma fonte da Canonical com um estilo muito distinto,\nprojetado para a distribuição Linux epônima."
