"keys","es"
,
"msg_updating_game","Actualizando a %s..."
"msg_installing_game","Instalando %s..."
"msg_game_updated","Actualización terminada."
"msg_game_installed","Instalación terminada."
"msg_deleting_game","Eliminando %s..."
"msg_game_deleted","Eliminación finalizada".
"msg_delete_not_found","Intenté eliminar la versión \"%s\", pero no pude encontrarla en el disco".
