"keys","es"
,
"msg_backing_up_saves","Guardando copias de seguridad en \""%s\""..."
"msg_backup_created","Copia de seguridad creada."
"msg_backup_name_taken","La copia de seguridad llamada \""%s\"" ya existe."
"msg_restoring_backup","Restaurando copia de seguridad \""%s\""..."
"msg_backup_restored","Copia de seguridad restaurada."
"msg_backup_not_found","No se encontró la copia de seguridad \""%s\""."
"msg_deleting_backup","Eliminando copia de seguridad \""%s\""..."
"msg_backup_deleted","Copia de seguridad eliminada."
