"keys","es"
,
"font_desc_fantasque","Un tipo de letra monospace algo caprichosa de Jany Belluz."
"font_desc_hack","Una fuente de trabajo diseñada principalmente para código fuente,\nenfocado en la legibilidad. De Source Foundry Authors."
"font_desc_inconsolata","Una variante de la fuente Inconsolata (originalmente de Raph Levien)\ncon la adición de caracteres griegos y cirílicos."
"font_desc_pt","Una fuente de máquina de escribir de ParaType con excelente tipografía cirílica."
"font_desc_ubuntu","Una fuente de Canonical con un estilo muy distinguido,\ndiseñada para la distribución de Linux epónima."
