"keys","es"
,
"msg_creating_settings","Creando archivos de configuración %s."
"msg_nonexistent_attempt","Se intentó cargar la configuración del archivo inexistente %s"
"msg_loading_settings","Cargando configuraciones de %s."
"msg_settings_parse_error","Error al analizar la configuración del JSON, linea %s, mensaje: %s"
"msg_nonexisting_setting","Se intento leer configuración inexistente \""%s\"""
