"keys","en"
,
"font_desc_fantasque","A somewhat whimsical monospace font by Jany Belluz."
"font_desc_hack","A workhorse font primarily designed for source code,\nwith focus on legibility. By Source Foundry Authors."
"font_desc_inconsolata","A variant of Inconsolata font (originally by Raph Levien)\nwith addition of Greek and Cyrillic characters."
"font_desc_pt","A typewriter font by ParaType with excellent Cyrillic typography."
"font_desc_ubuntu","A font by Canonical with a very distinct style,\ndesigned for the eponymous Linux distribution."
