"keys","tr"
,
"dlg_changelog_title","Son değişiklikler"
"str_fetching_changes","GitHub tan son değişiklikler alınıyor, lütfen bekleyin..."
"str_error_retrieving_data","GitHub API sinden veri alınırken hata oluştu."
"str_hhtp_response_code","\n\nHTTP tepki kodu: %s"
"str_github_says","\nGitHub diyor ki: [i]%s[/i]"
"str_try_later","\n\nLütfen tekrar deneyin."
"str_changelog_intro","Son [b]%s[/b] tamamlanmış pull request (kod eklemeleri) gösteriliyor ([b]%s[/b] için).\n\nİlgili PR ı GitHub üzerinde görüp değişiklik hakkında daha fazla bilgi almak için ilgili öğeye tıkla.\n"
