"keys","tr"
,
"btn_close","Kapat"
"btn_ok","TAMAM"
"btn_cancel","İptal"
"btn_yes","Evet"
"btn_no","Hayır"
"btn_reinstall","Y. yükle"
"btn_skip","Atla"
