keys,tr
,
font_desc_fantasque,"Jany Belluz yapýmý,nasýlsa kaprisli bir monospace fontu."
font_desc_hack,"Kaynak kodu için tasarlanmýþ okunulurluða odaklanmýþ bir ofis fontu,\n. Yapan, Source Foundry Yapýmcýlarý."
font_desc_inconsolata,Inconsolata fontunun (aslen Raph Levien yapýmý)\n Yunan ve Kiril harfleri eklenmiþ bir çeþidi.
font_desc_pt,"Harika Kiril tipografisiyle oluþturulmuþ, ParaType yapýmý bir daktilo fontu."
font_desc_ubuntu,"Canonical yapýmý,oldukça farklý bir tarza sahip bir font.\nadýný veren Linux daðýtýmý (Ubuntu) için tasarlandý."
