"keys","tr"
,
"msg_creating_settings","Ayar dosyası %s oluşturuluyor."
"msg_nonexistent_attempt","Olmayan dosya %s den ayar yüklenmeye çalışıldı"
"msg_loading_settings","%s daki ayarlan yükleniyor."
"msg_settings_parse_error","JSON, satırı %s den ayar okunurken hata, mesaj: %s"
"msg_nonexisting_setting","Olmayan ayar \""%s\"" okunulmaya çalışıldı."
"msg_no_game_options_file","Oyun ayarları şu an yönetilemiyor: oyun ayar dosyası yok. Oluşturmak için oyunu en az bir kere başlattığından emin ol."
