"keys","tr"
,
"unit_kb","KB"
"unit_mb","MB"
"unit_kbps","KB/s"
"unit_mbps","MB/s"
,
"msg_downloading_file","%s indiriliyor..."
"msg_download_progress","İndiriliyor:"
"str_dl_speed_at","hızı
"msg_download_finished","%s nın indirilmesi tamamlandı."
"msg_download_failed","%s nın indirilmesi başarısız oldu."
"msg_http_request_info","[b]HTTPRequest bilgisi:[/b]\n[u]Sonuç:[/u] %s\n[u]Tepki kodu:[/u] %s\n[u]Başlıklar:[/u] %s"
