"keys","cz"
,
"unit_kb","KB"
"unit_mb","MB"
"unit_kbps","KB/s"
"unit_mbps","MB/s"
,
"msg_downloading_file","Stahuji %s…"
"msg_download_progress","Stahuji:"
"str_dl_speed_at","rychlostí"
"msg_download_finished","Dokončeno stahování %s."
"msg_download_failed","Nezdařilo se stáhnout %s."
"msg_http_request_info","[b]Informace o požadavku HTTP:[/b]\n[u]Výsledek:[/u] %s\n[u]Kód odpovědi:[/u] %s\n[u]Hlavičky:[/u] %s"
