"keys","cz"
,
"font_desc_fantasque","Poněkud náladový monospace font od Jany Belluz."
"font_desc_hack","Tvrdě pracující font primárně navrhnut pro zdrojový kód,\nse zaměřením na čitelnost. Od Source Foundry Authors."
"font_desc_inconsolata","Variace fontu Inconsolata (původně od Raph Levien)\ns přidáním řeckých symbolů a azbuky."
"font_desc_pt","Font pro psací stroj od ParaType s excelentní typografií azbuky."
"font_desc_ubuntu","Font od Canonicalu s velmi vytříbeným stylem,\nnavrhnut pro jejich Linuxovou distribuci."
