keys,ko
,
msg_file_read_fail,%s 파일을 열 수 없습니다(오류 %s).
msg_file_write_fail,쓰기 위해 %s 파일을 열 수 없습니다(오류 %s).
msg_debug_file_path,전체 경로: %s
msg_json_parse_fail,%s의 내용을 읽어들일 수 없습니다.
msg_debug_json_result,JSON 구문 분석 결과:\n오류 코드: %s\n오류 메시지: %s\n오류 줄: %s
