keys,ko
,
dlg_userdata_deletion_title,사용자 데이터 삭제 확인
dlg_userdata_deletion_text_pt1,중지! 게임 디렉토리에서 잘못 배치된 사용자 데이터가 감지되었습니다. 이는 Catapult를 사용하지 않고 실행 파일에서 직접 게임을 실행한 경우 발생할 수 있습니다. 이는 지원되지 않으며 계속하면 모든 데이터가 복구 불가능하게 삭제됩니다.[br][br] 다음 폴더에서 사용자 데이터가 발견되었습니다:[br]
dlg_userdata_deletion_text_pt2,확인하기 전에 이러한 폴더를 검토하고 중요한 것은 백업하십시오.
dlg_userdata_deletion_safety_hint,확인하려면 여기에 \"delete\"를 입력하세요
