keys,ko
,
font_desc_fantasque,Jany Belluz의 다소 기발한 고정폭 글꼴입니다.
font_desc_hack,가독성에 중점을 두고 주로 소스 코드용으로\n설계된 주력 글꼴입니다. By Source Foundry Authors.
font_desc_inconsolata,Inconsolata 글꼴의 변형(원래 Raph Levien 제작)\n그리스어 및 키릴 문자가 추가되었습니다.
font_desc_pt,뛰어난 키릴 문자 타이포그래피를 갖춘 ParaType의 타자기 글꼴입니다.
font_desc_ubuntu,"매우 독특한 스타일을 지닌 Canonical의 글꼴로,\n동명의 Linux 배포판용으로 디자인되었습니다."
