keys,ko
,
dlg_changelog_title,최근 변경사항
str_fetching_changes,GitHub에서 최근 변경사항을 가져오는 중입니다. 기다리세요...
str_error_retrieving_data,GitHub API에서 데이터를 검색하는 중에 오류가 발생했습니다.
str_hhtp_response_code,\n\nHTTP 응답 코드: %s
str_github_says,\nGitHub 내용: [i]%s[/i]
str_try_later,\n\n나중에 다시 시도해 주세요.
str_changelog_intro,마지막 [b]%s[/b]개의 완료된 풀 리퀘스트(코드 추가)를 [b]%s[/b]에서 가져옵니다.\n\n항목을 클릭하면 GitHub에서 해당 PR을 보고 다음에 대해 자세히 알아볼 수 있습니다.\n
