"keys","zh"
,
"font_desc_fantasque","Jany Belluz 的一种有点异想天开的等宽字体。"
"font_desc_hack","主要为源代码设计的主力字体，\n注重易读性。作者：Source Foundry Authors。"
"font_desc_inconsolata","Inconsolata 字体的变体（最初由 Raph Levien 设计）\n添加了希腊语和西里尔字符。"
"font_desc_pt","ParaType 的打字机字体，在显示西里尔字体上很出色。"
"font_desc_ubuntu","Canonical 的字体，风格非常独特，\n为同名的 Linux 发行版设计。"
