"keys","zh"
,
"msg_updating_game","更新至%s…"
"msg_installing_game","正在安装%s…"
"msg_game_updated","更新完成。"
"msg_game_installed","安装完成。"
"msg_migrating_game_data","正在迁移游戏数据，请稍等。"
"msg_migrating_saves","复制游戏存档..."
"msg_migrating_config","复制游戏设置..."
"msg_migrating_mods","复制模组..."
"msg_migrating_fonts","复制用户字体..."
"msg_migrating_gfx","复制图形包..."
"msg_migrating_sound","复制音效包..."
"msg_migrating_templates","复制角色模板..."
"msg_migrating_memorial","复制游戏记录..."
"msg_migrating_graveyard","复制墓地..."
